dept,dept_group,title,published_date,year,month,month_name,quarter,quarter_label,year_month,relevance_score,priority_category,requires_action,policy_type,business_impact,sector_focus,ai_application,stage,audience,ai_summary,primary_topic,key_topics,recency,days_since_published,summary_word_count,topics_count,description,url,format,display_type,collection_date,week_of_year
DSIT,Innovation & Business,Understanding artificial intelligence ethics and safety,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Safety & Security,Active,Government/Public Sector,"This guide outlines ethical and safe practices for using artificial intelligence across various sectors, emphasizing responsible implementation and governance.",AI safety,"AI safety, ethics, governance",Over 2 years ago,2348.0,19,3.0,Understand how to use artificial intelligence ethically and safely,https://www.gov.uk/guidance/understanding-artificial-intelligence-ethics-and-safety,detailed_guide,,2025-11-13,23
DSIT,Innovation & Business,A guide to using artificial intelligence in the public sector,2019-10-18 11:16:59,2019.0,10.0,October,4.0,Q4.0 2019.0,2019-10,6.0,3-Medium,No,Implementation Guidance,Strategic,Public Sector,Innovation & R&D,Active,Government/Public Sector,"Guidance provided for building and utilizing artificial intelligence in the public sector, focusing on best practices and effective implementation strategies.",AI governance,"AI governance, public sector, innovation",Over 2 years ago,2218.0,20,3.0,Guidance on building and using artificial intelligence in the public sector.,https://www.gov.uk/government/collections/a-guide-to-using-artificial-intelligence-in-the-public-sector,document_collection,,2025-11-13,42
DSIT,Innovation & Business,Managing your artificial intelligence project,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Innovation & R&D,Active,Government/Public Sector,"This document offers insights on managing artificial intelligence projects effectively, highlighting key management practices and project governance.",AI governance,"AI governance, project management, innovation",Over 2 years ago,2348.0,17,3.0,Understand how to manage a project which uses artificial intelligence.,https://www.gov.uk/guidance/managing-your-artificial-intelligence-project,detailed_guide,,2025-11-13,23
DSIT,Innovation & Business,Assessing if artificial intelligence is the right solution,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Innovation & R&D,Active,Business/Private Sector,This guidance assists organizations in evaluating whether artificial intelligence is suitable for their specific challenges and operational needs.,AI innovation,"AI innovation, assessment, implementation",Over 2 years ago,2348.0,18,3.0,Guidance to help you assess if artificial intelligence (AI) is the right technology for your challenge.,https://www.gov.uk/guidance/assessing-if-artificial-intelligence-is-the-right-solution,detailed_guide,,2025-11-13,23
DSIT,Innovation & Business,Planning and preparing for artificial intelligence implementation,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Innovation & R&D,Active,Business/Private Sector,This guidance provides a framework for organizations to effectively plan and prepare for the implementation of artificial intelligence technologies.,AI implementation,"AI implementation, planning, strategy",Over 2 years ago,2348.0,19,3.0,Guidance to help you plan and prepare for implementing artificial intelligence (AI).,https://www.gov.uk/guidance/planning-and-preparing-for-artificial-intelligence-implementation,detailed_guide,,2025-11-13,23
DSIT,Innovation & Business,A guide to using artificial intelligence in the public sector,2020-01-27 14:06:00,2020.0,1.0,January,1.0,Q1.0 2020.0,2020-01,7.0,2-High,Yes,Implementation Guidance,High Impact,Public Sector,Innovation & R&D,Active,Government/Public Sector,This guide outlines best practices for building and utilizing artificial intelligence within the public sector to enhance service delivery and efficiency.,Public sector,"Public sector, AI governance, implementation",Over 2 years ago,2117.0,21,3.0,Guidance on building and using artificial intelligence in the public sector.,https://www.gov.uk/government/publications/a-guide-to-using-artificial-intelligence-in-the-public-sector,guidance,Guidance,2025-11-13,5
DSIT,Innovation & Business,Turing Artificial Intelligence Fellowships,2025-02-07 16:06:56,2025.0,2.0,February,1.0,Q1.0 2025.0,2025-02,6.0,3-Medium,No,Funding & Investment,Strategic,Technology,Workforce & Skills,Active,Government/Public Sector,"The Turing AI Fellowships initiative aims to attract top talent in AI, enhancing workforce skills and innovation in the UK.",funding,"funding, innovation, workforce",Last year,279.0,20,3.0,"The Turing AI Fellowships are a £46 million initiative created by the UK government, aimed at attracting and maintaining the best talent in artificial intelligence.",https://www.gov.uk/government/publications/turing-artificial-intelligence-fellowships,guidance,Guidance,2025-11-13,6
DSIT,Innovation & Business,UK artificial intelligence sectoral analysis survey,2025-02-27 08:30:03,2025.0,2.0,February,1.0,Q1.0 2025.0,2025-02,5.0,3-Medium,No,Research & Analysis,Background,Technology,Innovation & R&D,Active,Government/Public Sector,"The UK AI sectoral analysis survey aims to understand growth dynamics in the artificial intelligence sector, providing insights for future strategies.",research,"research, innovation, growth",Last year,259.0,21,3.0,"Government research to understand the UK's artificial intelligence sector, and how it is growing.",https://www.gov.uk/government/publications/uk-artificial-intelligence-sectoral-analysis-survey,research,Research,2025-11-13,9
DSIT,Innovation & Business,Growing the artificial intelligence industry in the UK,2017-10-14 23:00:00,2017.0,10.0,October,4.0,Q4.0 2017.0,2017-10,5.0,3-Medium,No,Research & Analysis,Strategic,Technology,Innovation & R&D,Historical,Government/Public Sector,"The independent review outlines strategies for growing the UK AI industry, emphasizing innovation and collaboration among stakeholders.",innovation,"innovation, growth, collaboration",Over 2 years ago,2951.0,17,3.0,"This independent review, carried out by Professor Dame Wendy Hall and Jérôme Pesenti reports on how the Artificial Intelligence industry can be grown in the UK.",https://www.gov.uk/government/publications/growing-the-artificial-intelligence-industry-in-the-uk,independent_report,Independent report,2025-11-13,41
DSIT,Innovation & Business,Office for Artificial Intelligence – information collection and analysis: privacy notice,2023-03-29 10:31:00,2023.0,3.0,March,1.0,Q1.0 2023.0,2023-03,8.0,2-High,Yes,Regulation & Compliance,Strategic,Public Sector,Data & Privacy,Active,General Public,The Office for Artificial Intelligence outlines personal data processing practices and individual rights regarding data protection compliance.,data protection,"data protection, privacy, governance",Over 2 years ago,960.0,17,3.0,"How the Office for Artificial Intelligence collects and processes your personal data, and your rights.",https://www.gov.uk/government/publications/office-for-artificial-intelligence-information-collection-and-analysis-privacy-notice,notice,Notice,2025-11-13,13
