dept,dept_group,title,published_date,year,month,month_name,quarter,quarter_label,year_month,relevance_score,priority_category,requires_action,policy_type,business_impact,sector_focus,ai_application,stage,audience,ai_summary,primary_topic,key_topics,recency,days_since_published,summary_word_count,topics_count,description,url,format,display_type,collection_date,week_of_year
DSIT,Innovation & Business,Understanding artificial intelligence ethics and safety,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,5.0,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Safety & Security,Historical,General Public,Guidance on ethical and safe AI usage; no specific deadlines or costs mentioned. Focus on responsible AI practices.,ai safety,"ai safety, ethics, governance",Over 2 years ago,2348.0,18,3,Understand how to use artificial intelligence ethically and safely,https://www.gov.uk/guidance/understanding-artificial-intelligence-ethics-and-safety,detailed_guide,,2025-11-12,23
DSIT,Innovation & Business,A guide to using artificial intelligence in the public sector,2019-10-18 11:16:59,2019.0,10.0,October,4.0,Q4.0 2019.0,2019-10,7.0,2-High,Yes,Implementation Guidance,High Impact,Public Sector,General AI Policy,Historical,Government/Public Sector,Provides guidance for building AI in public sector; emphasizes compliance and ethical considerations. No deadlines or costs specified.,public sector,"public sector, innovation, ethics",Over 2 years ago,2217.0,18,3,Guidance on building and using artificial intelligence in the public sector.,https://www.gov.uk/government/collections/a-guide-to-using-artificial-intelligence-in-the-public-sector,document_collection,,2025-11-12,42
DSIT,Innovation & Business,Managing your artificial intelligence project,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Cross-Sector,Workforce & Skills,Historical,Government/Public Sector,Offers management strategies for AI projects; encourages skill development and ethical oversight. No deadlines or costs mentioned.,governance,"governance, skills, automation",Over 2 years ago,2348.0,17,3,Understand how to manage a project which uses artificial intelligence.,https://www.gov.uk/guidance/managing-your-artificial-intelligence-project,detailed_guide,,2025-11-12,23
DSIT,Innovation & Business,Assessing if artificial intelligence is the right solution,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,5.0,3-Medium,No,Implementation Guidance,Operational,Cross-Sector,General AI Policy,Historical,Business/Private Sector,Guidance provided to assess AI suitability for challenges; no deadlines or costs mentioned. Requires evaluation of technology fit.,ai safety,"ai safety, innovation, assessment",Over 2 years ago,2348.0,18,3,Guidance to help you assess if artificial intelligence (AI) is the right technology for your challenge.,https://www.gov.uk/guidance/assessing-if-artificial-intelligence-is-the-right-solution,detailed_guide,,2025-11-12,23
DSIT,Innovation & Business,Planning and preparing for artificial intelligence implementation,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,5.0,3-Medium,No,Implementation Guidance,Operational,Cross-Sector,General AI Policy,Historical,Business/Private Sector,Guidance for planning AI implementation; no specific deadlines or costs noted. Focus on preparation and strategic alignment.,innovation,"innovation, automation, planning",Over 2 years ago,2348.0,17,3,Guidance to help you plan and prepare for implementing artificial intelligence (AI).,https://www.gov.uk/guidance/planning-and-preparing-for-artificial-intelligence-implementation,detailed_guide,,2025-11-12,23
DSIT,Innovation & Business,A guide to using artificial intelligence in the public sector,2020-01-27 14:06:00,2020.0,1.0,January,1.0,Q1.0 2020.0,2020-01,6.0,3-Medium,No,Implementation Guidance,Strategic,Public Sector,General AI Policy,Active,Government/Public Sector,Guidance on building AI in public sector; emphasizes ethical use and transparency. No deadlines or costs specified.,public sector,"public sector, ethics, transparency",Over 2 years ago,2116.0,17,3,Guidance on building and using artificial intelligence in the public sector.,https://www.gov.uk/government/publications/a-guide-to-using-artificial-intelligence-in-the-public-sector,guidance,Guidance,2025-11-12,5
DSIT,Innovation & Business,Turing Artificial Intelligence Fellowships,2025-02-07 16:06:56,2025.0,2.0,February,1.0,Q1.0 2025.0,2025-02,7.0,2-High,Yes,Funding & Investment,High Impact,Technology,Workforce & Skills,Active,Government/Public Sector,"The £46 million Turing AI Fellowships aim to attract top AI talent, enhancing workforce skills in the UK.",funding,"funding, skills, innovation",Last year,278.0,18,3,"The Turing AI Fellowships are a £46 million initiative created by the UK government, aimed at attracting and maintaining the best talent in artificial intelligence.",https://www.gov.uk/government/publications/turing-artificial-intelligence-fellowships,guidance,Guidance,2025-11-12,6
DSIT,Innovation & Business,UK artificial intelligence sectoral analysis survey,2025-02-27 08:30:03,2025.0,2.0,February,1.0,Q1.0 2025.0,2025-02,6.0,3-Medium,No,Research & Analysis,Strategic,Technology,Innovation & R&D,Active,Government/Public Sector,"The UK AI sectoral analysis survey aims to assess growth in the AI sector, informing future strategies and investments.",innovation,"innovation, sector growth",Last year,259.0,19,2,"Government research to understand the UK's artificial intelligence sector, and how it is growing.",https://www.gov.uk/government/publications/uk-artificial-intelligence-sectoral-analysis-survey,research,Research,2025-11-12,9
DSIT,Innovation & Business,Growing the artificial intelligence industry in the UK,2017-10-14 23:00:00,2017.0,10.0,October,4.0,Q4.0 2017.0,2017-10,5.0,3-Medium,No,Strategy & Frameworks,Strategic,Technology,Innovation & R&D,Historical,Government/Public Sector,"An independent review by Professor Dame Wendy Hall outlines strategies for growing the UK AI industry, focusing on innovation and collaboration.",strategy,"strategy, innovation, industry growth",Over 2 years ago,2951.0,21,3,"This independent review, carried out by Professor Dame Wendy Hall and Jérôme Pesenti reports on how the Artificial Intelligence industry can be grown in the UK.",https://www.gov.uk/government/publications/growing-the-artificial-intelligence-industry-in-the-uk,independent_report,Independent report,2025-11-12,41
DSIT,Innovation & Business,Office for Artificial Intelligence – information collection and analysis: privacy notice,2023-03-29 10:31:00,2023.0,3.0,March,1.0,Q1.0 2023.0,2023-03,6.0,3-Medium,No,Regulation & Compliance,Operational,Other/Mixed,Data & Privacy,Active,General Public,"The Office for Artificial Intelligence outlines personal data collection processes and individual rights, emphasizing compliance with data protection regulations.",data protection,"data protection, governance",Over 2 years ago,960.0,19,2,"How the Office for Artificial Intelligence collects and processes your personal data, and your rights.",https://www.gov.uk/government/publications/office-for-artificial-intelligence-information-collection-and-analysis-privacy-notice,notice,Notice,2025-11-12,13
